,slurm_id,N,D,O,epochs,lr,dset,loss,seed,reservoir_seed
23,111,100,100,1,100,0.001,data/rsg_tl100_s30.pkl,1.5766716289520264,473626357,0
24,110,100,100,1,100,0.001,data/rsg_tl100_s30.pkl,1.091882187128067,297388249,1
25,109,100,100,1,100,0.001,data/rsg_tl100_s30.pkl,1.4778585994243625,964353215,0
26,99,100,100,1,100,0.01,data/rsg_tl100_s20.pkl,0.5821335965394974,811645365,0
27,34,250,10,1,100,0.01,data/rsg_tl100_s30.pkl,2.652497448921204,132945831,1
28,101,100,100,1,100,0.001,data/rsg_tl100_s20.pkl,0.9245608890056609,316643324,0
29,107,100,100,1,100,0.01,data/rsg_tl100_s30.pkl,0.5057814455032349,142440736,0
30,104,100,100,1,100,0.001,data/rsg_tl100_s20.pkl,1.0427458012104034,922507287,1
31,31,250,10,1,100,0.001,data/rsg_tl100_s20.pkl,2.750258197784424,65679971,0
32,106,100,100,1,100,0.01,data/rsg_tl100_s30.pkl,0.9500897371768952,946696631,1
33,6,100,10,1,100,0.001,data/rsg_tl100_s20.pkl,2.312515687942505,256677737,1
34,97,100,100,1,100,0.01,data/rsg_tl100_s20.pkl,0.4956223344802856,609111554,0
35,5,100,10,1,100,0.001,data/rsg_tl100_s20.pkl,2.4091654777526856,919734282,0
36,7,100,10,1,100,0.001,data/rsg_tl100_s20.pkl,2.85166228055954,429135587,0
37,102,100,100,1,100,0.001,data/rsg_tl100_s20.pkl,0.6526904797554016,725664435,1
38,27,250,10,1,100,0.01,data/rsg_tl100_s20.pkl,2.141380038261413,472137928,0
39,4,100,10,1,100,0.01,data/rsg_tl100_s20.pkl,1.846253643035889,270343641,1
40,112,100,100,1,100,0.001,data/rsg_tl100_s30.pkl,0.9957824075222016,839685190,1
41,105,100,100,1,100,0.01,data/rsg_tl100_s30.pkl,0.6522915685176849,766232659,0
42,100,100,100,1,100,0.01,data/rsg_tl100_s20.pkl,0.5273893669247627,783950492,1
43,98,100,100,1,100,0.01,data/rsg_tl100_s20.pkl,0.5960975974798203,360841434,1
44,26,250,10,1,100,0.01,data/rsg_tl100_s20.pkl,2.2643028354644774,246812692,1
45,33,250,10,1,100,0.01,data/rsg_tl100_s30.pkl,2.632660164833069,139261419,0
46,103,100,100,1,100,0.001,data/rsg_tl100_s20.pkl,1.1364139235019683,901338048,0
47,30,250,10,1,100,0.001,data/rsg_tl100_s20.pkl,2.4114980864524838,67315421,1
48,28,250,10,1,100,0.01,data/rsg_tl100_s20.pkl,2.5123510432243346,546869266,1
49,36,250,10,1,100,0.01,data/rsg_tl100_s30.pkl,3.0456411457061767,830747961,1
50,35,250,10,1,100,0.01,data/rsg_tl100_s30.pkl,2.8778335309028624,267765987,0
51,37,250,10,1,100,0.001,data/rsg_tl100_s30.pkl,2.725401835441589,262030268,0
52,25,250,10,1,100,0.01,data/rsg_tl100_s20.pkl,2.697297627925873,130706847,0
53,32,250,10,1,100,0.001,data/rsg_tl100_s20.pkl,2.7569568395614623,857094170,1
54,29,250,10,1,100,0.001,data/rsg_tl100_s20.pkl,2.3229920768737795,84013935,0
55,3,100,10,1,100,0.01,data/rsg_tl100_s20.pkl,2.0727454662323,285957788,0
56,77,250,50,1,100,0.001,data/rsg_tl100_s20.pkl,2.167305614948273,609587216,0
57,87,250,50,1,100,0.001,data/rsg_tl100_s30.pkl,2.339783284664154,597466992,0
58,1,100,10,1,100,0.01,data/rsg_tl100_s20.pkl,1.7181566286087036,162450958,0
59,85,250,50,1,100,0.001,data/rsg_tl100_s30.pkl,2.4568598234653467,215455115,0
60,76,250,50,1,100,0.01,data/rsg_tl100_s20.pkl,1.1238768780231476,130152156,1
61,81,250,50,1,100,0.01,data/rsg_tl100_s30.pkl,1.7185414493083957,199085086,0
62,2,100,10,1,100,0.01,data/rsg_tl100_s20.pkl,2.417493371963501,154325091,1
63,160,250,250,1,100,0.001,data/rsg_tl100_s30.pkl,0.7097963654994964,111278417,1
64,84,250,50,1,100,0.01,data/rsg_tl100_s30.pkl,2.185959304571152,397503122,1
65,80,250,50,1,100,0.001,data/rsg_tl100_s20.pkl,1.7656333422660828,764331029,1
66,86,250,50,1,100,0.001,data/rsg_tl100_s30.pkl,2.020996043682098,896378842,1
67,79,250,50,1,100,0.001,data/rsg_tl100_s20.pkl,1.6658701777458191,9351016,0
68,88,250,50,1,100,0.001,data/rsg_tl100_s30.pkl,2.238958752155304,121161587,1
69,136,250,100,1,100,0.001,data/rsg_tl100_s30.pkl,1.9441755521297452,989323525,1
70,83,250,50,1,100,0.01,data/rsg_tl100_s30.pkl,1.3488108396530152,512427086,0
71,78,250,50,1,100,0.001,data/rsg_tl100_s20.pkl,1.6137793958187103,622520011,1
72,127,250,100,1,100,0.001,data/rsg_tl100_s20.pkl,1.188158893585205,153487760,0
73,82,250,50,1,100,0.01,data/rsg_tl100_s30.pkl,1.3949889814853669,68718080,1
74,132,250,100,1,100,0.01,data/rsg_tl100_s30.pkl,1.1230424213409425,404083653,1
